FF01-356,2019-11-30,,,FF01-356,FF01,356,20514739065,20514739065,,,10,SERVICIO DE TRANSPORTE,2500.00,0.08,0.10,211.86,38.14,250.00,,,,,,GRUPO E & E SAC,NIU
FF01-357,2019-11-30,,,FF01-357,FF01,357,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,2500.00,0.29,0.35,737.29,132.71,870.00,,,,,,AC SERVICENTRO AEDO SAC,NIU
FF01-359,2019-11-30,,,FF01-359,FF01,359,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,2000.00,0.30,0.35,593.22,106.78,700.00,,,,,,AC SERVICENTRO AEDO SAC,NIU
FF01-360,2019-11-30,,,FF01-360,FF01,360,20373756912,20373756912,,,5,DIESEL 2,567.26,10.41,12.28,5903.35,1062.60,6965.95,,,,,,EMPRESA DE TRANSPORTES DIAZ SRL,GLL
FF01-361,2019-11-30,,,FF01-361,FF01,361,20514739065,20514739065,,,10,SERVICIO DE TRANSPORTE,4000.00,0.68,0.80,2711.86,488.14,3200.00,,,,,,GRUPO E & E SAC,NIU
FF01-362,2019-11-30,,,FF01-362,FF01,362,20191338856,20191338856,,,5,DIESEL 2,500.00,10.18,12.01,5088.98,916.02,6005.00,,,,,,PTC S.A.C,GLL
FF01-363,2019-11-30,,,FF01-363,FF01,363,20512750045,20512750045,,,5,DIESEL 2,1000.00,9.74,11.49,9737.29,1752.71,11490.00,,,,,,SOLUCIONES LOGISTICAS INTERNACIONALES SAC,GLL
FF01-364,2019-11-30,,,FF01-364,FF01,364,20501889068,20501889068,,,5,DIESEL 2,718.61,10.41,12.28,7478.62,1346.15,8824.77,,,,,,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
FF01-365,2019-11-30,,,FF01-365,FF01,365,20511433020,20511433020,,,10,SERVICIO DE TRANSPORTE,1.00,677.97,800.00,677.97,122.03,800.00,,,,,,ESTACION DE SERVICIOS GRIFO ALAMO E.I.R.L.,NIU
FF01-366,2019-11-30,,,FF01-366,FF01,366,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,3000.00,0.25,0.29,737.29,132.71,870.00,,,,,,AC SERVICENTRO AEDO SAC,NIU
FF01-367,2019-11-30,,,FF01-367,FF01,367,20506748195,20506748195,,,5,DIESEL 2,1247.88,9.98,11.78,12457.63,2242.37,14700.00,,,,,,SEC TRANSPORTES Y NEGOCIOS S.R.L.,GLL
FF01-368,2019-11-30,,,FF01-368,FF01,368,20192263108,20192263108,,,5,DIESEL 2,1820.03,9.98,11.78,18169.49,3270.51,21440.00,,,,,,ORGANIZACIONES SERMAT S.A.C.,GLL
FF01-369,2019-11-30,,,FF01-369,FF01,369,20524388376,20524388376,,,10,SERVICIO DE TRANSPORTE,1.00,296.61,350.00,296.61,53.39,350.00,,,,,,C & E GRIFOS S.A.C.,NIU
FF01-370,2019-11-30,,,FF01-370,FF01,370,20514739065,20514739065,,,10,SERVICIO DE TRANSPORTE,3000.00,0.08,0.10,254.24,45.76,300.00,,,,,,GRUPO E & E SAC,NIU
FF01-371,2019-11-30,,,FF01-371,FF01,371,20562840878,20562840878,,,5,DIESEL 2,430.01,9.98,11.78,4292.76,772.70,5065.46,,,,,,SERVICIOS DE TRANSPORTE CAMILA S.A.C.,GLL
FF01-372,2019-11-30,,,FF01-372,FF01,372,20191338856,20191338856,,,5,DIESEL 2,500.00,10.18,12.01,5088.98,916.02,6005.00,,,,,,PTC S.A.C,GLL
FF01-373,2019-11-30,,,FF01-373,FF01,373,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,2000.00,0.30,0.35,593.22,106.78,700.00,,,,,,AC SERVICENTRO AEDO SAC,NIU
