,25-11-2019,15-11-2019,FF03,FF03-226,FF03,226,20518518543,20518518543,,,5,DIESEL 2,139.49,9.98,11.77,1391.94,250.55,1642.49,,,,,,CONSORCIO 22 SRL,GLL
,25-11-2019,15-11-2019,FF03,FF03-227,FF03,227,20504750931,20504750931,,,5,DIESEL 2,34.43,10.4,12.28,358.2,64.48,422.68,,,,,,ROLANDO MULTISERVICIOS SAC,GLL
,25-11-2019,15-11-2019,FF03,FF03-228,FF03,228,20373756912,20373756912,,,5,DIESEL 2,112.61,10.41,12.28,1171.91,210.94,1382.85,,,,,,EMPRESA DE TRANSPORTES DIAZ SRL,GLL
,25-11-2019,16-11-2019,FF01,FF01-356,FF01,356,20514739065,20514739065,,,10,SERVICIO DE TRANSPORTE,2500,0.08,0.1,211.86,38.14,250,,,,,,GRUPO E & E SAC,NIU
,25-11-2019,16-11-2019,FF01,FF01-357,FF01,357,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,2500,0.29,0.35,737.29,132.71,870,,,,,,AC SERVICENTRO AEDO SAC,NIU
,25-11-2019,18-11-2019,FF02,FF02-261,FF02,261,20163695198,20163695198,,,5,DIESEL 2,248.2,9.97,11.77,2475.69,445.62,2921.31,,,,,,TRANSUD S.A.C.,GLL
,25-11-2019,18-11-2019,FF03,FF03-229,FF03,229,20518518543,20518518543,,,5,DIESEL 2,139.71,9.98,11.78,1394.36,250.99,1645.35,,,,,,CONSORCIO 22 SRL,GLL
,25-11-2019,19-11-2019,FF01,FF01-359,FF01,359,20491354322,20491354322,,,10,SERVICIO DE TRANSPORTE,2000,0.3,0.35,593.22,106.78,700,,,,,,AC SERVICENTRO AEDO SAC,NIU
,25-11-2019,19-11-2019,FF01,FF01-360,FF01,360,20373756912,20373756912,,,5,DIESEL 2,567.26,10.41,12.28,5903.35,1062.6,6965.95,,,,,,EMPRESA DE TRANSPORTES DIAZ SRL,GLL
,25-11-2019,20-11-2019,FF01,FF01-361,FF01,361,20514739065,20514739065,,,10,SERVICIO DE TRANSPORTE,4000,0.68,0.8,2711.86,488.14,3200,,,,,,GRUPO E & E SAC,NIU
,25-11-2019,21-11-2019,FF01,FF01-362,FF01,362,20191338856,20191338856,,,5,DIESEL 2,500,10.18,12.01,5088.98,916.02,6005,,,,,,PTC S.A.C,GLL
,25-11-2019,21-11-2019,FF01,FF01-363,FF01,363,20512750045,20512750045,,,5,DIESEL 2,1000,9.74,11.49,9737.29,1752.71,11490,,,,,,SOLUCIONES LOGISTICAS INTERNACIONALES SAC,GLL
