B,27-11-2019,1,9,99,BB01,19195,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19196,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19197,,,0,145084,5,DIESEL B5 S50,8.554,9.906779661,11.69,84.7457627119,15.2542372881,100,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19198,C_000001,C_000001,0,,2,GAS 90,1.564,10.8389830508,12.79,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19199,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19200,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19201,,,0,145101,2,GAS 90,1.59,10.8389830508,12.79,17.2372881356,3.1027118644,20.34,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19202,,,0,145143,5,DIESEL B5 S50,8.554,9.906779661,11.69,84.7457627119,15.2542372881,100,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19203,C_000001,C_000001,0,,2,GAS 90,0.547,10.8389830508,12.79,5.9322033898,1.0677966102,7,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19204,C_000001,C_000001,0,,3,GAS 95,0.201,12.6186440678,14.89,2.5423728814,0.4576271186,3,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19205,C_000001,C_000001,0,,2,GAS 90,2.346,10.8389830508,12.79,25.4237288136,4.5762711864,30,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19206,C_000001,C_000001,0,,2,GAS 90,0.235,10.8389830508,12.79,2.5423728814,0.4576271186,3,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19207,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19208,C_000001,C_000001,0,,2,GAS 90,1.564,10.8389830508,12.79,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19209,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19210,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19211,C_000001,C_000001,0,,3,GAS 95,1.343,12.6186440678,14.89,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19212,C_000001,C_000001,0,,2,GAS 90,1.564,10.8389830508,12.79,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19213,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19214,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19215,C_000001,C_000001,0,,2,GAS 90,0.235,10.8389830508,12.79,2.5423728814,0.4576271186,3,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19216,,,0,145152,5,DIESEL B5 S50,6.843,9.906779661,11.69,67.7966101695,12.2033898305,80,,,,,,,GLL
B,27-11-2019,1,9,99,BB01,19217,C_000001,C_000001,0,,2,GAS 90,0.313,10.8389830508,12.79,3.3898305085,0.6101694915,4,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19218,C_000001,C_000001,0,,3,GAS 95,2.015,12.6186440678,14.89,25.4237288136,4.5762711864,30,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19219,,,0,145170,3,GAS 95,7.389,12.6186440678,14.89,93.2372881356,16.7827118644,110.02,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19220,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19221,,,0,145183,2,GAS 90,1.955,10.8389830508,12.79,21.186440678,3.813559322,25,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19222,,,0,145185,3,GAS 95,6.718,12.6186440678,14.89,84.7711864407,15.2588135593,100.03,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19223,,,0,145194,5,DIESEL B5 S50,2.566,9.906779661,11.69,25.4237288136,4.5762711864,30,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19224,C_000001,C_000001,0,,2,GAS 90,0.313,10.8389830508,12.79,3.3898305085,0.6101694915,4,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19225,C_000001,C_000001,0,,3,GAS 95,0.134,12.6186440678,14.89,1.6949152542,0.3050847458,2,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19226,C_000001,C_000001,0,,2,GAS 90,0.235,10.8389830508,12.79,2.5423728814,0.4576271186,3,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19227,C_000001,C_000001,0,,2,GAS 90,1.173,10.8389830508,12.79,12.7118644068,2.2881355932,15,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19228,C_000001,C_000001,0,,3,GAS 95,0.672,12.6186440678,14.89,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19229,,,0,145201,2,GAS 90,3.127,10.8389830508,12.79,33.8983050847,6.1016949153,40,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19230,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19231,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19232,C_000001,C_000001,0,,2,GAS 90,0.313,10.8389830508,12.79,3.3898305085,0.6101694915,4,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19233,C_000001,C_000001,0,,2,GAS 90,0.995,10.8389830508,12.79,10.7881355932,1.9418644068,12.73,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19234,,,0,145218,5,DIESEL B5 S50,21.386,9.906779661,11.69,211.8644067797,38.1355932203,250,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19235,,,0,145221,2,GAS 90,1.564,10.8389830508,12.79,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19236,,,0,145227,3,GAS 95,6.716,12.6186440678,14.89,84.7457627119,15.2542372881,100,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19237,,,0,145228,5,DIESEL B5 S50,6.245,9.906779661,11.69,61.8644067797,11.1355932203,73,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19238,C_000001,C_000001,0,,4,GAS 98,1.259,13.4661016949,15.89,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19239,,,0,145242,5,DIESEL B5 S50,10.265,9.906779661,11.69,101.6949152542,18.3050847458,120,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19240,C_000001,C_000001,0,,2,GAS 90,0.782,10.8389830508,12.79,8.4745762712,1.5254237288,10,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19241,C_000001,C_000001,0,,2,GAS 90,0.313,10.8389830508,12.79,3.3898305085,0.6101694915,4,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19242,C_000001,C_000001,0,,2,GAS 90,0.391,10.8389830508,12.79,4.2372881356,0.7627118644,5,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19243,,,0,145267,5,DIESEL B5 S50,14.555,9.906779661,11.69,144.1949152542,25.9550847458,170.15,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19244,C_000001,C_000001,0,,2,GAS 90,1.173,10.8389830508,12.79,12.7118644068,2.2881355932,15,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19245,C_000001,C_000001,0,,3,GAS 95,2.015,12.6186440678,14.89,25.4237288136,4.5762711864,30,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19246,C_000001,C_000001,0,,2,GAS 90,1.564,10.8389830508,12.79,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19247,,,0,145297,3,GAS 95,1.343,12.6186440678,14.89,16.9491525424,3.0508474576,20,,,,,,,GLL
B,27-11-2019,2,15,99,BB01,19248,C_000001,C_000001,0,,2,GAS 90,3.127,10.8389830508,12.79,33.8983050847,6.1016949153,40,,,,,,,GLL
