B,30-09-2019,,,,BB06,8337,,,,,2,GAS 90,4.225,12.0338983051,14.2,50.8474576271,9.1525423729,60,,,,,,,GLL
B,24-11-2019,2019-11-08 00:00:00 -0500,1,99,BB05,80,46136634,46136634,0,,2,GAS 90,1.408,12.0338983051,14.2,16.9491525424,3.0508474576,20,,,,,,,GLL
B,24-11-2019,2019-11-12 00:00:00 -0500,1,99,BB05,81,48113250,48113250,0,,2,GAS 90,1.41,12.0338983051,14.2,16.9661016949,3.0538983051,20.02,,,,,,,GLL
B,24-11-2019,2019-11-18 00:00:00 -0500,1,99,BB05,82,20191043546,20191043546,0,,2,GAS 90,1,12.0338983051,14.2,12.0338983051,2.1661016949,14.2,,,,,,,GLL
B,24-11-2019,2019-11-18 00:00:00 -0500,1,99,BB05,83,71689457,71689457,0,,2,GAS 90,1,12.0338983051,14.2,12.0338983051,2.1661016949,14.2,,,,,,,GLL
B,24-11-2019,2019-11-20 00:00:00 -0500,1,99,BB05,84,71689457,71689457,0,,2,GAS 90,1,12.0338983051,14.2,12.0338983051,2.1661016949,14.2,,,,,,,GLL
B,24-11-2019,2019-11-25 00:00:00 -0500,1,99,BB05,85,20573344104,20573344104,0,,2,GAS 90,1.408,12.0338983051,14.2,16.9491525424,3.0508474576,20,,,,,,,GLL
N,24-11-2019,2019-11-01 00:00:00 -0500,1,99,BB06,8675,000C_000001,C_000001,0,,2,GAS 90,3.521,12.0338983051,14.2,42.3728813559,7.6271186441,50,,,,,,,GLL
N,24-11-2019,2019-11-01 00:00:00 -0500,1,99,BB06,8676,000C_000001,C_000001,0,,2,GAS 90,2.465,12.0338983051,14.2,29.6610169492,5.3389830508,35,,,,,,,GLL
N,24-11-2019,2019-11-01 00:00:00 -0500,1,99,BB06,8677,000C_000001,C_000001,0,,2,GAS 90,2.183,12.0338983051,14.2,26.2711864407,4.7288135593,31,,,,,,,GLL
N,24-11-2019,2019-11-01 00:00:00 -0500,1,99,BB06,8678,000C_000001,C_000001,0,,2,GAS 90,3.521,12.0338983051,14.2,42.3728813559,7.6271186441,50,,,,,,,GLL
N,24-11-2019,2019-11-01 00:00:00 -0500,1,99,BB06,8679,000C_000001,C_000001,0,,2,GAS 90,2.465,12.0338983051,14.2,29.6610169492,5.3389830508,35,,,,,,,GLL
