"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20758,,,," ",3,"GASOHOL 95",0.37,11.50,13.57,4.24,0.76,5.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20757,,,," ",3,"GASOHOL 95",0.74,11.50,13.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20756,,,," ",4,"GASOHOL 98",0.67,12.70,14.99,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20755,,,," ",2,"GASOHOL 90",0.40,10.65,12.57,4.24,0.76,5.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20754,,,," ",2,"GASOHOL 90",0.40,10.65,12.57,4.24,0.76,5.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20753,,,," ",2,"GASOHOL 90",0.16,10.65,12.57,1.69,0.31,2.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20752,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20751,,,," ",2,"GASOHOL 90",0.40,10.65,12.57,4.24,0.76,5.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20750,,,," ",2,"GASOHOL 90",0.30,10.65,12.57,3.24,0.58,3.82,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20749,,,," ",3,"GASOHOL 95",1.47,11.50,13.57,16.95,3.05,20.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20748,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20747,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20746,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20745,,,," ",2,"GASOHOL 90",0.40,10.65,12.57,4.24,0.76,5.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20744,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20743,,,," ",3,"GASOHOL 95",3.69,11.50,13.57,42.37,7.63,50.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20742,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20741,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20740,,,," ",2,"GASOHOL 90",0.80,10.65,12.57,8.47,1.53,10.00,,1,,,,,"GLL",
"B","23-09-2019","2019-09-23 00:00:00 -0500",1,99,"B101",20739,,,," ",2,"GASOHOL 90",0.40,10.65,12.57,4.24,0.76,5.00,,1,,,,,"GLL",
