B,12-05-2020,12-05-2020,,12-05-2020,BB05,130,,,,,5,DIESEL B5 S50,4.17,10.16,11.99,42.37,7.63,50.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,131,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,132,,,,,2,GAS 90,1.63,10.42,12.30,16.95,3.05,20.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,133,,,,,2,GAS 90,4.47,10.42,12.30,46.61,8.39,55.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,134,,,,,2,GAS 90,12.20,10.42,12.30,127.12,22.88,150.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,135,,,,,5,DIESEL B5 S50,4.17,10.16,11.99,42.37,7.63,50.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,136,,,,,2,GAS 90,8.13,10.42,12.30,84.75,15.25,100.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,137,,,,,5,DIESEL B5 S50,7.67,10.16,11.99,77.97,14.03,92.00,,,,,,,GLL
B,21-05-2020,21-05-2020,,21-05-2020,BB05,138,,,,,2,GAS 90,6.43,10.42,12.30,67.03,12.07,79.10,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,139,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,140,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,141,,,,,2,GAS 90,7.64,10.42,12.30,79.66,14.34,94.00,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,142,,,,,5,DIESEL B5 S50,4.17,10.16,11.99,42.37,7.63,50.00,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,143,,,,,2,GAS 90,9.76,10.42,12.30,101.69,18.31,120.00,,,,,,,GLL
B,22-05-2020,22-05-2020,,22-05-2020,BB05,144,,,,,2,GAS 90,9.76,10.42,12.30,101.69,18.31,120.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,145,,,,,2,GAS 90,12.20,10.42,12.30,127.12,22.88,150.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,146,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,147,,,,,5,DIESEL B5 S50,12.51,10.16,11.99,127.12,22.88,150.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,148,,,,,5,DIESEL B5 S50,8.34,10.16,11.99,84.75,15.25,100.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,149,,,,,2,GAS 90,6.10,10.42,12.30,63.56,11.44,75.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,150,,,,,2,GAS 90,2.44,10.42,12.30,25.42,4.58,30.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,151,,,,,2,GAS 90,8.13,10.42,12.30,84.75,15.25,100.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,152,,,,,5,DIESEL B5 S50,10.01,10.16,11.99,101.69,18.31,120.00,,,,,,,GLL
B,23-05-2020,23-05-2020,,23-05-2020,BB05,153,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,25-05-2020,25-05-2020,,25-05-2020,BB05,154,,,,,2,GAS 90,8.13,10.42,12.30,84.75,15.25,100.00,,,,,,,GLL
B,25-05-2020,25-05-2020,,25-05-2020,BB05,155,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,25-05-2020,25-05-2020,,25-05-2020,BB05,156,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,25-05-2020,25-05-2020,,25-05-2020,BB05,157,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,25-05-2020,25-05-2020,,25-05-2020,BB05,158,,,,,2,GAS 90,8.13,10.42,12.30,84.75,15.25,100.00,,,,,,,GLL
B,27-05-2020,27-05-2020,,27-05-2020,BB05,159,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,28-05-2020,28-05-2020,,28-05-2020,BB05,160,,,,,2,GAS 90,8.13,10.42,12.30,84.75,15.25,100.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,161,,,,,2,GAS 90,1.63,10.42,12.30,16.95,3.05,20.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,162,,,,,2,GAS 90,1.63,10.42,12.30,16.95,3.05,20.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,163,,,,,2,GAS 90,1.63,10.42,12.30,16.95,3.05,20.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,164,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,165,,,,,2,GAS 90,4.07,10.42,12.30,42.37,7.63,50.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,166,,,,,2,GAS 90,1.22,10.42,12.30,12.71,2.29,15.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,167,,,,,2,GAS 90,2.85,10.42,12.30,29.66,5.34,35.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,168,,,,,2,GAS 90,15.04,10.42,12.30,156.78,28.22,185.00,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,169,,,,,2,GAS 90,1.00,10.42,12.30,10.42,1.88,12.30,,,,,,,GLL
B,29-05-2020,29-05-2020,,29-05-2020,BB05,170,,,,,2,GAS 90,0.81,10.42,12.30,8.47,1.53,10.00,,,,,,,GLL
