B,15-05-2020,15-05-2020,15-05-2020,99,BB03,24200,C_000001,C_000001,0,,2,GAS 90,0.702,9.65,11.39,6.78,1.22,8.00,18,98,0,98,0,,GLL
B,15-05-2020,15-05-2020,15-05-2020,99,BB03,24201,,,0,189377,2,GAS 90,1,9.65,11.39,9.65,1.74,11.39,18,1,0,98,0,,GLL
B,15-05-2020,15-05-2020,15-05-2020,99,BB03,24202,,,0,189408,5,DIESEL B5 S50,1.837,9.23,10.89,16.95,3.05,20.00,18,1,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24203,C_000001,C_000001,0,,3,GAS 95,4.003,10.58,12.49,42.37,7.63,50.00,18,98,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24204,C_000001,C_000001,0,,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,98,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24205,C_000001,C_000001,0,,3,GAS 95,1.561,10.58,12.49,16.53,2.97,19.50,18,98,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24206,,,0,189610,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,1,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24207,,,0,189620,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,1,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24208,C_000001,C_000001,0,,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,98,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24209,C_000001,C_000001,0,,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,98,0,98,0,,GLL
B,16-05-2020,16-05-2020,16-05-2020,99,BB03,24210,,,0,189644,3,GAS 95,2.402,10.58,12.49,25.42,4.58,30.00,18,1,0,1,0,,GLL
B,17-05-2020,17-05-2020,17-05-2020,99,BB03,24211,,,0,189682,5,DIESEL B5 S50,40.131,9.23,10.89,370.36,66.67,437.03,18,1,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24212,,,0,189764,2,GAS 90,4.39,9.65,11.39,42.37,7.63,50.00,18,1,0,1,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24213,,,0,189788,5,DIESEL B5 S50,6.428,9.23,10.89,59.32,10.68,70.00,18,1,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24214,C_000001,C_000001,0,,3,GAS 95,1.528,11.09,13.09,16.95,3.05,20.00,18,98,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24215,C_000001,C_000001,0,,3,GAS 95,1.528,11.09,13.09,16.95,3.05,20.00,18,98,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24216,C_000001,C_000001,0,,3,GAS 95,0.764,11.09,13.09,8.47,1.53,10.00,18,98,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24217,,,0,189848,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,1,0,98,0,,GLL
B,18-05-2020,18-05-2020,18-05-2020,99,BB03,24218,C_000001,C_000001,0,,2,GAS 90,0.878,9.65,11.39,8.47,1.53,10.00,18,98,0,98,0,,GLL
B,19-05-2020,19-05-2020,19-05-2020,99,BB03,24219,,,0,189900,5,DIESEL B5 S50,11.019,9.23,10.89,101.69,18.31,120.00,18,1,0,98,0,,GLL
B,19-05-2020,19-05-2020,19-05-2020,99,BB03,24220,C_000001,C_000001,0,,2,GAS 90,1.317,9.65,11.39,12.71,2.29,15.00,18,98,0,98,0,,GLL
B,19-05-2020,19-05-2020,19-05-2020,99,BB03,24221,,,0,189926,5,DIESEL B5 S50,1.837,9.23,10.89,16.95,3.05,20.00,18,1,0,98,0,,GLL
