"B","14-09-2019","1","0001","99","B001","00022890",,,," ","05","DieselPro B5 S50 UV",6.26,10.03,11.84,62.78,11.30,74.08,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022891",,,," ","05","DieselPro B5 S50 UV",11,10.03,11.84,110.41,19.87,130.28,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022892",,,," ","05","DieselPro B5 S50 UV",0.51,10.03,11.84,5.08,0.92,6.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022893",,,," ","05","DieselPro B5 S50 UV",8.47,10.03,11.84,85.01,15.30,100.31,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022894",,,," ","05","DieselPro B5 S50 UV",7.6,10.03,11.84,76.27,13.73,90.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022895",,,," ","04","Gasohol 98",0.97,13.13,15.49,12.71,2.29,15.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022896",,,," ","04","Gasohol 98",0.65,13.13,15.49,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022897",,,," ","05","DieselPro B5 S50 UV",7.18,10.03,11.84,72.04,12.97,85.01,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022898",,,," ","05","DieselPro B5 S50 UV",2.53,10.03,11.84,25.42,4.58,30.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022899",,,," ","02","Gasohol 90",0.23,11.01,12.99,2.54,0.46,3.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022900",,,," ","05","DieselPro B5 S50 UV",1.69,10.03,11.84,16.95,3.05,20.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022901",,,," ","02","Gasohol 90",0.46,11.01,12.99,5.08,0.92,6.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022902",,,," ","05","DieselPro B5 S50 UV",0.85,10.03,11.84,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022903",,,," ","02","Gasohol 90",0.77,11.01,12.99,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022904",,,," ","05","DieselPro B5 S50 UV",5.07,10.03,11.84,50.85,9.15,60.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022905",,,," ","05","DieselPro B5 S50 UV",4.56,10.03,11.84,45.76,8.24,54.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022906",,,," ","05","DieselPro B5 S50 UV",4.22,10.03,11.84,42.37,7.63,50.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022907",,,," ","05","DieselPro B5 S50 UV",1.69,10.03,11.84,16.95,3.05,20.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022908",,,," ","05","DieselPro B5 S50 UV",2.53,10.03,11.84,25.42,4.58,30.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022909",,,," ","02","Gasohol 90",1.54,11.01,12.99,16.95,3.05,20.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022910",,,," ","05","DieselPro B5 S50 UV",3.13,10.03,11.84,31.36,5.64,37.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022911",,,," ","02","Gasohol 90",0.31,11.01,12.99,3.39,0.61,4.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022912",,,," ","02","Gasohol 90",0.23,11.01,12.99,2.54,0.46,3.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022913",,,," ","05","DieselPro B5 S50 UV",1.69,10.03,11.84,16.95,3.05,20.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022914",,,," ","05","DieselPro B5 S50 UV",4.22,10.03,11.84,42.37,7.63,50.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022915",,,," ","05","DieselPro B5 S50 UV",4.22,10.03,11.84,42.37,7.63,50.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022916",,,," ","05","DieselPro B5 S50 UV",2,10.03,11.84,20.07,3.61,23.68,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022917",,,," ","05","DieselPro B5 S50 UV",13.52,10.03,11.84,135.61,24.41,160.02,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022918",,,," ","02","Gasohol 90",0.77,11.01,12.99,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022919",,,," ","02","Gasohol 90",1,11.01,12.99,11.01,1.98,12.99,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022920",,,," ","04","Gasohol 98",8.38,13.13,15.49,110.03,19.81,129.84,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022921",,,," ","05","DieselPro B5 S50 UV",0.42,10.03,11.84,4.24,0.76,5.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022922",,,," ","02","Gasohol 90",0.77,11.01,12.99,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022923",,,," ","02","Gasohol 90",0.39,11.01,12.99,4.24,0.76,5.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022924",,,," ","02","Gasohol 90",0.39,11.01,12.99,4.24,0.76,5.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022925",,,," ","02","Gasohol 90",0.77,11.01,12.99,8.47,1.53,10.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022926",,,," ","02","Gasohol 90",0.31,11.01,12.99,3.39,0.61,4.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022927",,,," ","05","DieselPro B5 S50 UV",0.25,10.03,11.84,2.54,0.46,3.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022928",,,," ","02","Gasohol 90",1.54,11.01,12.99,16.95,3.05,20.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022929",,,," ","02","Gasohol 90",0.54,11.01,12.99,5.93,1.07,7.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022930",,,," ","02","Gasohol 90",2.31,11.01,12.99,25.42,4.58,30.00,,,,,,,"GLL",
"B","14-09-2019","1","0001","99","B001","00022931",,,," ","02","Gasohol 90",1.16,11.01,12.99,12.71,2.29,15.00,,,,,,,"GLL",
